https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BUSD,tradecount
1683763200000,2023-05-11,ADABUSD,0.3694,0.3696,0.3486,0.3598,31481230.9,11282026.45676,38250
1683676800000,2023-05-10,ADABUSD,0.3633,0.3729,0.3546,0.3693,42981035.9,15711866.70253,50539
1683590400000,2023-05-09,ADABUSD,0.3656,0.3707,0.36,0.3633,24123394.3,8784400.71537,26633
1683504000000,2023-05-08,ADABUSD,0.3763,0.3796,0.3534,0.3655,44803987.2,16432069.10081,55246
1683417600000,2023-05-07,ADABUSD,0.379,0.3834,0.374,0.3762,16883401.6,6411501.09038,19514
1683331200000,2023-05-06,ADABUSD,0.3943,0.3968,0.3738,0.3791,23868750.3,9147631.48433,29581
1683244800000,2023-05-05,ADABUSD,0.3873,0.3968,0.383,0.3943,19830383.4,7748096.36609,27787
1683158400000,2023-05-04,ADABUSD,0.394,0.3964,0.3849,0.3873,20464833.0,8000650.24525,24263
1683072000000,2023-05-03,ADABUSD,0.392,0.3965,0.3785,0.3941,34815127.4,13419127.31208,42798
1682985600000,2023-05-02,ADABUSD,0.3869,0.3948,0.3817,0.3919,24049346.5,9333865.54834,29130
1682899200000,2023-05-01,ADABUSD,0.3957,0.398,0.3805,0.387,37157936.9,14407928.32412,44655
1682812800000,2023-04-30,ADABUSD,0.4026,0.415,0.3945,0.3957,28171722.4,11344170.84328,35998
1682726400000,2023-04-29,ADABUSD,0.4044,0.408,0.3995,0.4026,19283905.8,7793261.65398,22764
1682640000000,2023-04-28,ADABUSD,0.4101,0.411,0.3971,0.4045,26661042.8,10793556.24214,40026
1682553600000,2023-04-27,ADABUSD,0.4015,0.4186,0.401,0.4101,49862488.5,20421388.85604,76294
1682467200000,2023-04-26,ADABUSD,0.3945,0.4176,0.3781,0.4015,64328950.0,25749892.45075,83269
1682380800000,2023-04-25,ADABUSD,0.3836,0.3953,0.3762,0.3946,35357997.8,13544740.09483,42056
1682294400000,2023-04-24,ADABUSD,0.3888,0.3975,0.3799,0.3837,41741111.8,16174633.86136,46192
1682208000000,2023-04-23,ADABUSD,0.3956,0.3957,0.3802,0.3889,35362916.2,13736983.8048,36179
1682121600000,2023-04-22,ADABUSD,0.3825,0.3989,0.3811,0.3956,38591974.5,15145150.01203,34290
1682035200000,2023-04-21,ADABUSD,0.4007,0.4072,0.3789,0.3825,51439542.9,20331839.89299,68125
1681948800000,2023-04-20,ADABUSD,0.4165,0.4221,0.3957,0.4007,64014595.0,26134701.12901,71837
1681862400000,2023-04-19,ADABUSD,0.4435,0.4435,0.408,0.4165,76463164.1,32153808.44875,86724
1681776000000,2023-04-18,ADABUSD,0.4343,0.448,0.4279,0.4435,34855896.4,15360015.69071,40438
1681689600000,2023-04-17,ADABUSD,0.4514,0.4515,0.4308,0.4342,50774452.2,22343147.44282,60519
1681603200000,2023-04-16,ADABUSD,0.4524,0.4579,0.4424,0.4514,36889283.2,16572526.82167,46107
1681516800000,2023-04-15,ADABUSD,0.4382,0.4617,0.4313,0.4524,64831876.1,29176059.03753,78564
1681430400000,2023-04-14,ADABUSD,0.4254,0.4442,0.423,0.4381,93741182.8,40785209.37221,102859
